,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
Bus 1,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,40.0000,40.0000,40.0000,40.0000,40.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000
Bus 2,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,40.0000,40.0000,40.0000,40.0000,40.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000
Bus 3,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,40.0000,40.0000,40.0000,40.0000,40.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000
Bus 4,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,40.0000,40.0000,40.0000,40.0000,40.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000
Bus 5,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,40.0000,40.0000,40.0000,40.0000,40.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000
Bus 6,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,40.0000,40.0000,40.0000,40.0000,40.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000
Bus 7,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,40.0000,40.0000,40.0000,40.0000,40.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000
Bus 8,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,40.0000,40.0000,40.0000,40.0000,40.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000
Bus 9,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,40.0000,40.0000,40.0000,40.0000,40.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000
Bus 10,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,40.0000,40.0000,40.0000,40.0000,40.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000
Bus 11,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,40.0000,40.0000,40.0000,40.0000,40.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000
Bus 12,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,40.0000,40.0000,40.0000,40.0000,40.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000
Bus 13,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,40.0000,40.0000,40.0000,40.0000,40.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000
Bus 14,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,40.0000,40.0000,40.0000,40.0000,40.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000
